,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00103549,96,92,51,33,-,-,4,4,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103550,112,105,65,25,2,-,-,13,3,3,1,-,-,-,2,1,1,-,-,-,-,-,-,-,-
S00103551,106,99,45,21,4,-,2,27,3,4,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103552,94,90,50,23,1,-,-,16,2,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103553,59,57,29,19,3,-,3,3,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
S00103554,58,52,34,8,2,-,1,7,2,3,1,1,1,-,-,1,1,-,-,-,-,-,-,-,-
S00103555,95,91,57,25,2,-,-,7,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103556,89,80,45,21,5,-,-,9,2,5,2,1,-,2,-,-,-,-,-,-,-,-,2,-,2
S00103557,139,127,85,33,4,-,-,5,2,10,6,2,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103558,124,119,79,22,2,-,4,12,-,5,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-
S00103559,85,81,55,13,7,-,1,5,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103560,85,78,46,21,4,-,-,7,-,6,1,-,-,4,1,-,-,-,-,-,-,-,1,-,1
S00103561,62,60,29,18,1,-,-,12,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103562,69,66,38,13,2,-,-,13,-,2,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00103563,87,85,53,14,7,-,4,7,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-
S00103564,80,74,51,15,-,-,1,7,1,5,-,2,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103565,87,86,59,9,3,1,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00103566,69,67,50,10,3,-,1,3,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103567,84,75,53,19,3,-,-,-,3,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103568,69,66,44,10,5,-,-,7,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-
S00103569,63,59,27,17,7,-,-,8,-,4,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103570,86,83,68,13,2,-,-,-,-,2,-,-,2,-,-,1,1,-,-,-,-,-,-,-,-
S00103571,76,75,47,18,3,-,2,5,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
S00103572,167,159,121,22,3,-,8,5,1,4,-,-,-,3,1,3,3,-,-,-,-,-,-,-,-
S00103573,68,68,60,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103574,161,152,135,14,2,-,-,1,3,4,-,-,-,4,-,-,-,-,-,-,-,-,2,2,-
S00103575,113,93,77,14,-,-,-,2,-,11,3,4,4,-,-,5,5,-,-,-,-,-,4,4,-
S00103576,117,113,100,4,-,-,-,9,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00103577,107,77,59,11,1,-,-,6,1,28,7,14,-,-,7,-,-,-,-,-,-,-,1,-,1
S00103578,100,93,86,5,2,-,-,-,-,7,-,3,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103579,131,129,102,17,2,-,-,8,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00103580,94,91,71,11,3,-,3,3,1,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103581,120,118,103,14,-,-,-,1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103582,190,184,161,6,1,-,15,1,-,4,-,-,-,-,4,1,1,-,-,-,-,-,1,1,-
S00103583,139,138,122,6,-,-,7,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103584,162,153,139,8,1,-,4,1,2,-,-,-,-,-,-,2,2,-,-,-,-,-,5,5,-
S00103585,151,146,128,9,-,-,-,9,-,3,-,-,-,3,-,2,2,-,-,-,-,-,-,-,-
S00103586,150,143,121,9,3,-,5,5,1,5,-,1,-,4,-,-,-,-,1,1,-,-,-,-,-
S00103587,154,144,128,5,1,-,8,2,1,4,-,4,-,-,-,4,4,-,1,1,-,-,-,-,-
S00103588,123,115,103,5,2,-,4,1,-,7,2,2,-,3,-,-,-,-,1,-,-,1,-,-,-
S00103589,132,116,107,1,-,1,7,-,3,12,1,8,-,3,-,1,1,-,-,-,-,-,-,-,-
S00103590,128,114,106,1,-,-,5,2,-,11,7,-,-,-,4,-,-,-,3,-,3,-,-,-,-
S00103591,91,91,82,3,1,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103592,108,102,89,2,1,-,7,3,2,3,-,-,1,-,2,1,1,-,-,-,-,-,-,-,-
S00103593,100,90,76,7,2,-,-,5,-,10,8,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103594,118,110,94,8,1,-,5,2,1,7,1,4,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103595,120,108,100,6,-,-,2,-,2,8,7,-,-,-,1,-,-,-,1,1,-,-,1,1,-
S00103596,114,110,105,-,-,-,5,-,-,3,-,3,-,-,-,1,1,-,-,-,-,-,-,-,-
S00103597,116,109,101,3,1,-,4,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,1,-,1
S00103598,100,98,92,3,-,-,3,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103599,82,81,76,-,2,-,-,3,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103600,115,102,96,2,-,-,2,2,2,4,-,-,4,-,-,1,1,-,-,-,-,-,6,-,6
S00103601,99,97,93,3,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103602,104,99,89,5,-,1,-,4,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103603,103,103,96,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103604,67,63,60,1,2,-,-,-,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00103605,91,82,77,-,-,-,4,1,-,8,-,7,-,-,1,1,1,-,-,-,-,-,-,-,-
S00103606,92,75,69,3,-,-,3,-,-,17,4,7,-,2,4,-,-,-,-,-,-,-,-,-,-
S00103607,103,99,89,6,1,-,-,3,-,4,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103608,106,102,93,6,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-
S00103609,149,125,111,4,1,-,5,4,1,23,8,11,2,-,2,-,-,-,-,-,-,-,-,-,-
S00103610,70,68,56,1,1,-,4,6,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
S00103611,95,87,64,12,2,-,6,3,-,6,-,5,-,1,-,2,2,-,-,-,-,-,-,-,-
S00103612,110,87,74,9,2,-,-,2,2,15,1,2,-,12,-,5,5,-,1,-,-,1,-,-,-
S00103613,92,80,69,9,-,-,-,2,2,9,-,6,-,3,-,-,-,-,-,-,-,-,1,1,-
S00103614,80,76,71,5,-,-,-,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103615,157,128,102,6,4,-,13,3,2,11,4,-,-,7,-,13,13,-,-,-,-,-,3,3,-
S00103616,86,72,66,-,-,-,2,4,1,8,3,1,-,-,4,-,-,-,2,-,-,2,3,-,3
S00103617,106,102,85,4,5,-,7,1,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103618,123,121,119,-,1,-,1,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103619,105,91,81,2,-,-,7,1,-,4,-,-,-,4,-,4,4,-,-,-,-,-,6,5,1
S00103620,118,106,89,5,-,-,6,6,1,3,1,-,-,2,-,4,4,-,-,-,-,-,4,1,3
S00103621,133,117,99,3,1,-,5,9,1,8,-,1,-,1,6,-,-,-,-,-,-,-,7,1,6
S00103622,55,55,49,3,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103623,159,142,129,8,-,-,-,5,-,12,9,-,-,3,-,3,3,-,1,-,1,-,1,-,1
S00103624,109,107,85,13,3,-,-,6,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1
S00103625,119,118,104,6,2,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103626,85,81,72,9,-,-,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103627,135,129,114,13,1,-,-,1,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103628,64,52,46,4,-,-,-,2,4,1,-,-,-,1,-,7,7,-,-,-,-,-,-,-,-
S00103629,99,90,75,11,3,-,-,1,2,7,4,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00103630,116,114,90,21,-,-,-,3,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1
S00103631,103,88,77,8,1,-,-,2,1,14,-,4,-,2,8,-,-,-,-,-,-,-,-,-,-
S00103632,124,113,100,10,-,-,-,3,-,9,6,-,1,2,-,2,2,-,-,-,-,-,-,-,-
S00103633,148,142,104,29,6,-,1,2,-,6,4,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00103634,91,82,68,13,-,-,-,1,-,9,-,-,-,5,4,-,-,-,-,-,-,-,-,-,-
S00103635,93,92,82,10,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00103636,119,116,94,10,7,-,3,2,-,3,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
S00103637,83,81,70,11,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103638,79,79,67,7,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103639,114,114,97,9,2,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103640,81,73,57,11,-,-,-,5,2,3,-,1,-,-,2,-,-,-,-,-,-,-,3,3,-
S00103641,158,144,114,20,-,-,2,8,2,10,5,3,-,1,1,-,-,-,-,-,-,-,2,2,-
S00103642,80,69,53,5,1,-,-,10,-,8,4,-,-,4,-,3,3,-,-,-,-,-,-,-,-
S00103643,109,99,89,9,1,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,5,5,-
S00103644,88,63,43,16,1,1,-,2,4,14,-,7,3,4,-,-,-,-,-,-,-,-,7,6,1
S00103645,141,141,120,20,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103646,130,121,96,20,3,-,1,1,3,4,-,-,4,-,-,2,2,-,-,-,-,-,-,-,-
S00103647,87,87,71,12,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103648,62,52,37,13,-,-,-,2,-,9,6,-,-,-,3,1,1,-,-,-,-,-,-,-,-
S00103649,208,197,154,25,6,-,-,12,-,10,1,5,-,2,2,1,1,-,-,-,-,-,-,-,-
S00103650,132,131,109,16,2,-,-,4,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103651,98,93,77,12,-,-,-,4,2,1,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-
S00103652,117,116,106,8,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103653,114,113,92,18,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103654,105,99,68,18,-,-,-,13,-,6,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-
S00103655,164,163,135,17,2,-,-,9,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103656,155,150,123,24,-,-,-,3,2,2,-,-,-,1,1,-,-,-,-,-,-,-,1,-,1
S00103657,151,147,133,11,2,-,-,1,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103658,82,79,67,10,1,-,-,1,-,3,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00103659,122,115,103,9,2,-,-,1,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103660,111,107,87,15,-,-,-,5,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103661,135,135,107,23,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103662,93,92,74,12,2,-,-,4,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103663,130,124,100,18,1,-,-,5,1,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103664,118,111,86,14,2,-,3,6,-,6,-,3,-,3,-,-,-,-,-,-,-,-,1,1,-
S00103665,113,112,94,11,3,-,-,4,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103666,87,82,72,8,1,-,-,1,-,4,2,-,-,2,-,-,-,-,-,-,-,-,1,-,1
S00103667,109,89,65,23,-,-,-,1,3,15,5,-,-,3,7,2,2,-,-,-,-,-,-,-,-
S00103668,119,113,95,17,-,-,-,1,-,6,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103669,143,138,103,25,1,-,-,9,-,4,-,4,-,-,-,-,-,-,1,-,-,1,-,-,-
S00103670,108,105,86,14,4,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-
S00103671,135,122,92,24,-,1,-,5,4,9,4,-,-,-,5,-,-,-,-,-,-,-,-,-,-
S00103672,117,111,90,13,5,-,-,3,-,5,1,1,3,-,-,-,-,-,1,-,1,-,-,-,-
S00103673,124,123,103,13,1,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103674,114,110,92,12,3,-,-,3,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
S00103675,171,167,143,19,3,-,-,2,-,2,-,-,2,-,-,-,-,-,-,-,-,-,2,1,1
S00103676,60,58,44,9,3,-,1,1,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00103677,108,107,87,17,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103678,138,125,86,22,2,-,-,15,5,7,5,-,1,1,-,-,-,-,-,-,-,-,1,1,-
S00103679,120,108,69,29,2,-,-,8,4,6,-,4,-,-,2,-,-,-,-,-,-,-,2,-,2
S00103680,121,107,63,28,5,-,-,11,-,14,3,11,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103681,58,54,28,16,4,-,-,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103682,70,64,38,16,2,1,-,7,1,4,-,3,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103683,69,65,46,16,1,-,-,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,2,-,2
S00103684,80,76,48,17,4,-,-,7,-,3,-,2,-,1,-,1,1,-,-,-,-,-,-,-,-
S00103685,82,73,49,7,5,-,-,12,4,5,-,2,-,-,3,-,-,-,-,-,-,-,-,-,-
S00103686,62,60,44,12,2,-,-,2,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103687,88,87,67,11,6,-,-,3,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00103688,96,92,61,20,2,-,1,8,-,2,-,1,-,1,-,1,1,-,1,-,1,-,-,-,-
S00103689,79,76,42,26,1,-,-,7,1,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-
S00103690,82,76,61,8,4,-,-,3,1,4,-,1,-,-,3,-,-,-,-,-,-,-,1,-,1
S00103691,108,104,73,17,2,-,-,12,-,1,-,-,-,-,1,1,1,-,1,-,-,1,1,-,1
S00103692,200,171,123,14,-,1,29,4,4,21,13,-,-,5,3,4,4,-,-,-,-,-,-,-,-
S00103693,96,86,81,-,-,-,5,-,4,3,-,2,-,-,1,-,-,-,2,-,2,-,1,-,1
S00103694,235,194,147,21,5,-,16,5,2,27,7,-,3,17,-,7,7,-,-,-,-,-,5,5,-
S00103695,100,92,65,9,-,-,12,6,1,2,-,-,-,1,1,1,1,-,1,-,1,-,3,2,1
S00103696,168,132,110,12,-,-,8,2,1,19,10,1,5,3,-,12,12,-,4,4,-,-,-,-,-
S00103697,108,105,99,4,-,-,2,-,1,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103698,115,108,100,2,-,-,1,5,-,4,4,-,-,-,-,2,2,-,-,-,-,-,1,-,1
S00103699,183,178,155,7,1,-,13,2,2,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-
S00103700,118,94,71,6,-,-,5,12,1,10,2,5,-,3,-,9,9,-,1,1,-,-,3,-,3
S00103701,141,129,116,4,-,-,2,7,2,2,2,-,-,-,-,8,8,-,-,-,-,-,-,-,-
S00103702,77,76,65,2,-,-,9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103703,264,208,168,20,8,-,3,9,4,49,19,-,4,25,1,-,-,-,1,-,-,1,2,2,-
S00103704,162,143,126,7,-,-,8,2,-,3,2,-,-,1,-,16,16,-,-,-,-,-,-,-,-
S00103705,107,93,69,5,2,-,11,6,4,-,-,-,-,-,-,7,7,-,-,-,-,-,3,-,3
S00103706,120,109,79,14,1,-,12,3,-,1,1,-,-,-,-,10,10,-,-,-,-,-,-,-,-
S00103707,108,99,87,6,2,-,1,3,2,3,2,1,-,-,-,4,4,-,-,-,-,-,-,-,-
S00103708,76,64,48,7,-,-,3,6,5,3,-,2,-,-,1,4,4,-,-,-,-,-,-,-,-
S00103709,61,61,40,2,1,-,4,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103710,90,74,63,2,4,-,-,5,-,10,-,-,-,1,9,5,5,-,-,-,-,-,1,-,1
S00103711,87,79,66,7,1,-,4,1,1,4,-,-,-,-,4,1,1,-,-,-,-,-,2,-,2
S00103712,91,87,85,-,-,-,1,1,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00103713,74,70,67,1,-,-,1,1,-,3,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-
S00103714,53,51,43,3,-,-,3,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103715,121,117,110,7,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-
S00103716,100,95,81,4,-,-,7,3,-,4,-,2,-,2,-,-,-,-,-,-,-,-,1,1,-
S00103717,101,97,88,-,-,-,9,-,-,3,-,-,2,1,-,1,1,-,-,-,-,-,-,-,-
S00103718,77,74,69,1,-,-,4,-,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-
S00103719,59,59,53,2,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103720,53,50,47,1,-,-,-,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-
S00103721,92,92,90,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103722,91,73,58,4,-,1,4,6,2,7,-,-,2,4,1,8,7,1,-,-,-,-,1,-,1
S00103723,103,99,64,7,1,-,19,8,-,-,-,-,-,-,-,3,3,-,-,-,-,-,1,1,-
S00103724,120,104,59,15,-,-,29,1,2,9,3,1,-,4,1,4,4,-,1,-,-,1,-,-,-
S00103725,96,90,56,10,1,-,17,6,1,3,1,-,-,-,2,-,-,-,2,2,-,-,-,-,-
S00103726,98,89,50,11,1,-,24,3,1,2,-,2,-,-,-,6,6,-,-,-,-,-,-,-,-
S00103727,83,83,69,2,3,-,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103728,107,103,79,3,2,-,14,5,-,3,-,1,-,2,-,1,1,-,-,-,-,-,-,-,-
S00103729,151,144,111,13,1,-,10,9,2,4,-,1,-,3,-,-,-,-,-,-,-,-,1,1,-
S00103730,141,127,122,4,-,-,-,1,1,7,7,-,-,-,-,6,6,-,-,-,-,-,-,-,-
S00103731,170,151,111,11,-,-,22,7,1,4,-,1,-,1,2,12,12,-,-,-,-,-,2,2,-
S00103732,105,95,51,7,2,-,30,5,3,3,1,-,2,-,-,-,-,-,2,1,1,-,2,1,1
S00103733,128,120,111,2,-,-,-,7,1,7,1,-,-,6,-,-,-,-,-,-,-,-,-,-,-
S00103734,104,94,86,7,-,-,-,1,-,10,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-
S00103735,140,104,86,9,-,-,9,-,3,3,-,-,1,2,-,30,29,1,-,-,-,-,-,-,-
S00103736,68,60,51,2,-,-,2,5,-,8,3,-,-,2,3,-,-,-,-,-,-,-,-,-,-
S00103737,82,61,49,1,1,-,8,2,2,16,-,5,-,5,6,3,3,-,-,-,-,-,-,-,-
S00103738,97,87,70,6,-,-,8,3,1,2,1,-,-,1,-,4,4,-,2,2,-,-,1,-,1
S00103739,136,127,97,2,-,-,23,5,4,4,-,1,2,-,1,-,-,-,-,-,-,-,1,-,1
S00103740,126,106,88,6,3,-,2,7,1,6,-,-,3,3,-,12,9,3,1,1,-,-,-,-,-
S00103741,94,90,81,4,-,-,3,2,-,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-
S00103742,118,117,104,6,-,-,6,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00103743,61,57,49,-,2,-,4,2,-,4,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00103744,132,128,125,3,-,-,-,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103745,111,109,98,1,-,-,10,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103746,109,103,89,14,-,-,-,-,2,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00103747,87,83,79,1,-,-,2,1,-,4,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-
S00103748,121,94,81,4,1,-,8,-,-,16,-,2,4,10,-,11,11,-,-,-,-,-,-,-,-
S00103749,78,71,60,7,-,-,3,1,-,6,-,-,-,1,5,-,-,-,1,1,-,-,-,-,-
S00103750,175,167,135,13,1,-,9,9,1,6,-,1,-,2,3,1,1,-,-,-,-,-,-,-,-
S00103751,143,101,50,14,1,-,23,13,2,34,2,2,4,18,8,4,4,-,1,1,-,-,1,-,1
S00103752,87,67,59,4,-,-,2,2,-,8,-,-,-,8,-,12,12,-,-,-,-,-,-,-,-
S00103753,76,72,54,-,-,-,15,3,2,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00103754,182,127,79,15,-,-,25,8,3,34,-,1,2,22,9,17,17,-,-,-,-,-,1,-,1
S00103755,190,135,124,6,-,-,4,1,-,46,5,-,1,35,5,7,7,-,1,-,-,1,1,-,1
S00103756,136,130,123,4,-,-,1,2,2,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-
S00103757,181,160,140,3,1,-,13,3,2,-,-,-,-,-,-,12,12,-,1,-,-,1,6,6,-
S00103758,136,93,70,4,2,-,7,10,2,18,-,-,1,17,-,22,22,-,1,1,-,-,-,-,-
S00103759,111,92,71,9,1,-,1,10,-,9,-,1,-,5,3,3,3,-,2,1,-,1,5,3,2
S00103760,112,92,73,4,3,-,9,3,5,9,5,4,-,-,-,5,5,-,-,-,-,-,1,-,1
S00103761,149,116,82,-,2,-,23,9,6,10,-,5,-,4,1,16,16,-,-,-,-,-,1,1,-
S00103762,154,144,116,4,-,-,23,1,3,4,-,-,4,-,-,3,3,-,-,-,-,-,-,-,-
S00103763,127,114,104,1,-,-,8,1,1,1,-,-,-,1,-,10,10,-,1,1,-,-,-,-,-
S00103764,72,71,55,4,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00103765,112,107,94,5,-,-,8,-,-,5,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
S00103766,164,132,93,6,1,-,18,14,-,16,-,2,-,11,3,10,10,-,2,-,2,-,4,4,-
S00103767,94,94,83,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103768,52,46,37,7,-,-,-,2,2,4,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-
S00103769,149,142,116,21,2,-,-,3,1,6,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-
S00103770,98,95,84,9,-,-,-,2,1,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-
S00103771,124,120,114,4,-,-,-,2,1,1,-,-,-,-,1,1,1,-,1,-,-,1,-,-,-
S00103772,87,75,67,3,-,-,1,4,-,11,-,2,9,-,-,-,-,-,1,-,-,1,-,-,-
S00103773,106,98,80,14,3,-,-,1,-,6,1,-,-,5,-,2,-,2,-,-,-,-,-,-,-
S00103774,131,125,98,23,2,-,1,1,-,5,-,-,5,-,-,-,-,-,1,-,1,-,-,-,-
S00103775,130,129,105,18,2,-,-,4,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103776,145,142,115,24,1,-,-,2,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00103777,127,125,98,21,-,-,-,6,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103778,147,131,115,9,-,-,3,4,1,12,-,8,-,4,-,1,1,-,2,-,2,-,-,-,-
S00103779,90,88,81,3,1,-,-,3,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-
S00103780,86,82,75,5,2,-,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103781,121,119,108,9,-,-,-,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00103782,125,122,115,6,-,-,-,1,-,3,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
S00103783,95,91,81,9,-,-,-,1,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00103784,130,127,116,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-
S00103785,121,116,106,8,-,-,1,1,1,4,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-
S00103786,137,127,114,8,1,-,-,4,2,8,5,-,-,2,1,-,-,-,-,-,-,-,-,-,-
S00103787,111,110,96,12,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00103788,146,137,127,10,-,-,-,-,2,6,-,2,-,3,1,-,-,-,-,-,-,-,1,1,-
S00103789,109,105,99,4,1,-,-,1,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00103790,142,125,112,12,1,-,-,-,-,15,-,1,3,4,7,-,-,-,-,-,-,-,2,-,2
S00103791,151,145,137,6,-,-,-,2,1,4,-,-,-,4,-,-,-,-,-,-,-,-,1,-,1
S00103792,131,130,115,11,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00103793,136,129,123,4,-,-,-,2,-,7,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-
S00103794,93,83,68,7,1,-,3,4,-,10,1,1,-,8,-,-,-,-,-,-,-,-,-,-,-
